log_text,sentiment
"The instruction_manual be easy to follow, and assembly Washington quick.",positive
"The setup instructions were unclear, and I needed to contact support.",negative
"The packaging Washington damage upon arrival, merely the merchandise Washington fine.",neutral
The customer support Washington decelerate to react to my inquiries.,negative
The company's web_site be easy to use and hour_angle helpful information.,positive
The customer service agent was rude and unhelpful.,negative
I was disappointed in the lack of customer support options.,negative
The return process was simple and straightforward.,positive
The guarantee information Washington difficult to discovery on the website.,negative
"The apparatus instruction_manual be unclear, and iodine necessitate to contact support.",negative
The merchandise be durable and hour_angle last longer than expected.,positive
The online chat support was helpful and resolved my issue immediately.,positive
"The setup instructions were unclear, and I needed to contact support.",negative
The product is durable and has lasted longer than expected.,positive
"The instructions were easy to follow, and assembly was quick.",positive
I would recommend product to my friends and family.,positive
return process was simple and straightforward.,positive
iodine found the user interface intuitive and easy to learn.,positive
I would recommend this product my friends family.,positive
The product is exactly as described on the website.,positive
The software crashed several times during use.,negative
The company's web_site be easy to use and hour_angle helpful information.,positive
The software crashed several times during use.,negative
The customer support Washington decelerate to react to my inquiries.,negative
The process was smooth and hassle-free.,positive
I was disappointed in the lack of customer support options.,negative
The company's response to my ailment Washington unsatisfactory.,negative
"The packaging Washington damage upon arrival, merely the merchandise Washington fine.",neutral
The customer support was slow to respond to my inquiries.,negative
I would recommend this product to my friends and family.,positive
"The packaging was damaged upon arrival, but the product was fine.",neutral
The product is not compatible existing system.,negative
The refund process was smooth and hassle-free.,positive
The warranty information was difficult to find on the website.,negative
The return process was simple straightforward.,positive
The customer service agent was rude and unhelpful.,negative
The product is of quality and frequently malfunctions.,negative
The on-line chat support Washington helpful and decide my issue immediately.,positive
The company resolved my problem promptly and courteously.,positive
I'm very happy with the speed of delivery.,positive
The online chat support was helpful and resolved my issue immediately.,positive
The merchandise be durable and hour_angle last longer than expected.,positive
The monetary_value Washington reasonable for the quality of the product.,positive
I would recommend this product to my friends and family.,positive
The merchandise exceed my expectations.,positive
I had a great experience overall and will from this company again.,positive
"iodine have angstrom problem with my order, merely the customer service team decide information_technology efficiently.",positive
The customer service agent was rude and unhelpful.,negative
The product met my expectations and satisfied with purchase.,positive
"iodine receive angstrom follow-up electronic_mail after my purchase, which Washington angstrom Nice touch.",positive
The tax_return procedure Washington simple and straightforward.,positive
company resolved my problem promptly and courteously.,positive
The refund was smooth and hassle-free.,positive
The customer service agent was rude and unhelpful.,negative
"The instruction_manual be easy to follow, and assembly Washington quick.",positive
"I received a follow-up email after my purchase, which a nice",positive
"The instructions were easy to follow, and assembly was quick.",positive
iodine appreciate the prompt attention to my order.,positive
The tax_return procedure Washington simple and straightforward.,positive
The software crashed times during use.,negative
The refund process was smooth and hassle-free.,positive
The merchandise be durable and hour_angle last longer than expected.,positive
The product is not compatible with my existing system.,negative
iodine would recommend this merchandise to my friend and family.,positive
company's website is easy to and has helpful information.,positive
The product is exactly as described on the website.,positive
The customer support was slow to respond to my inquiries.,negative
iodine have angstrom great experience overall and volition purchase from this company again.,positive
iodine have angstrom great experience overall and volition purchase from this company again.,positive
The warranty information was difficult to find on the website.,negative
The product is not compatible with my existing system.,negative
The online chat support was helpful and resolved my immediately.,positive
